Tipo;SKU;Nome;Publicado;Descrição curta;Em estoque?;Estoque;Quantidade baixa de estoque;São permitidas encomendas?;Vendido individualmente?;Peso (kg);Comprimento (cm);Largura (cm);Altura (cm);Permitir avaliações de clientes?;Preço;Categorias;Produto ascendente;Nome do atributo 1;Valores do atributo 1;Visibilidade do atributo 1;Atributo global 1;Nome do atributo 2;Valores do atributo 2;Visibilidade do atributo 2;Atributo global 2;Nome do atributo 3;Valores do atributo 3;Visibilidade do atributo 3;Atributo global 3
variable;10134;Vestido Sofia;-1;Vestido mid de alcinha com recortes no busto e recortes na saia, fechamento trazeiro com zíper invisível.;1;;;0;0;574;32;21;12;0;489,99;Vestido > Vestido mid;;Cor;ROSA, LARANJA;1;1;Tamanho;PP, P, M, G, GG;1;1;Composição;Tecido: 98% Algodão 02% Elastano ;1;0
variation;10134-R-PP;Vestido Sofia - ROSA, PP;-1;;1;1;;0;0;;;;;0;489,99;;10134;Cor;ROSA;;1;Tamanho;PP;;1;;;;
variation;10134-R-P;Vestido Sofia - ROSA, P;-1;;1;1;;0;0;;;;;0;489,99;;10134;Cor;ROSA;;1;Tamanho;P;;1;;;;
variation;10134-R-M;Vestido Sofia - ROSA, M;-1;;1;1;;0;0;;;;;0;489,99;;10134;Cor;ROSA;;1;Tamanho;M;;1;;;;
variation;10134-R-G;Vestido Sofia - ROSA, G;-1;;1;1;;0;0;;;;;0;489,99;;10134;Cor;ROSA;;1;Tamanho;G;;1;;;;
variation;10134-R-GG;Vestido Sofia - ROSA, GG;-1;;1;1;;0;0;;;;;0;489,99;;10134;Cor;ROSA;;1;Tamanho;GG;;1;;;;
variation;10134-L-PP;Vestido Sofia - LARANJA, PP;-1;;1;1;;0;0;;;;;0;489,99;;10134;Cor;LARANJA;;1;Tamanho;PP;;1;;;;
variation;10134-L-P;Vestido Sofia - LARANJA, P;-1;;1;1;;0;0;;;;;0;489,99;;10134;Cor;LARANJA;;1;Tamanho;P;;1;;;;
variation;10134-L-M;Vestido Sofia - LARANJA, M;-1;;1;1;;0;0;;;;;0;489,99;;10134;Cor;LARANJA;;1;Tamanho;M;;1;;;;
variation;10134-L-G;Vestido Sofia - LARANJA, G;-1;;1;1;;0;0;;;;;0;489,99;;10134;Cor;LARANJA;;1;Tamanho;G;;1;;;;
variation;10134-L-GG;Vestido Sofia - LARANJA, GG;-1;;1;1;;0;0;;;;;0;489,99;;10134;Cor;LARANJA;;1;Tamanho;GG;;1;;;;
variable;4114;Maxi T-Shirt;-1;T-shirt com gola V e com abertura na lateral ;1;;;0;0;261;32;21;12;0;169,99;Blusa > Blusa manga curta;;Cor;PRETO, BRANCO, ROSA CHICLETE;1;1;Tamanho;PP, P, M, G, GG;1;1;Composição;Tecido: 96% Viscose 4%Elastano;1;0
variation;4114-P-PP;Maxi T-Shirt - PRETO, PP;-1;;1;1;;0;0;;;;;0;169,99;;4114;Cor;PRETO;;1;Tamanho;PP;;1;;;;
variation;4114-P-P;Maxi T-Shirt - PRETO, P;-1;;1;1;;0;0;;;;;0;169,99;;4114;Cor;PRETO;;1;Tamanho;P;;1;;;;
variation;4114-P-M;Maxi T-Shirt - PRETO, M;-1;;1;1;;0;0;;;;;0;169,99;;4114;Cor;PRETO;;1;Tamanho;M;;1;;;;
variation;4114-P-G;Maxi T-Shirt - PRETO, G;-1;;1;1;;0;0;;;;;0;169,99;;4114;Cor;PRETO;;1;Tamanho;G;;1;;;;
variation;4114-P-GG;Maxi T-Shirt - PRETO, GG;-1;;1;1;;0;0;;;;;0;169,99;;4114;Cor;PRETO;;1;Tamanho;GG;;1;;;;
variation;4114-B-PP;Maxi T-Shirt - BRANCO, PP;-1;;1;1;;0;0;;;;;0;169,99;;4114;Cor;BRANCO;;1;Tamanho;PP;;1;;;;
variation;4114-B-P;Maxi T-Shirt - BRANCO, P;-1;;1;1;;0;0;;;;;0;169,99;;4114;Cor;BRANCO;;1;Tamanho;P;;1;;;;
variation;4114-B-M;Maxi T-Shirt - BRANCO, M;-1;;1;1;;0;0;;;;;0;169,99;;4114;Cor;BRANCO;;1;Tamanho;M;;1;;;;
variation;4114-B-G;Maxi T-Shirt - BRANCO, G;-1;;1;1;;0;0;;;;;0;169,99;;4114;Cor;BRANCO;;1;Tamanho;G;;1;;;;
variation;4114-B-GG;Maxi T-Shirt - BRANCO, GG;-1;;1;1;;0;0;;;;;0;169,99;;4114;Cor;BRANCO;;1;Tamanho;GG;;1;;;;
variation;4114-R-PP;Maxi T-Shirt - ROSA CHICLETE, PP;-1;;1;1;;0;0;;;;;0;169,99;;4114;Cor;ROSA CHICLETE;;1;Tamanho;PP;;1;;;;
variation;4114-R-P;Maxi T-Shirt - ROSA CHICLETE, P;-1;;1;1;;0;0;;;;;0;169,99;;4114;Cor;ROSA CHICLETE;;1;Tamanho;P;;1;;;;
variation;4114-R-M;Maxi T-Shirt - ROSA CHICLETE, M;-1;;1;1;;0;0;;;;;0;169,99;;4114;Cor;ROSA CHICLETE;;1;Tamanho;M;;1;;;;
variation;4114-R-G;Maxi T-Shirt - ROSA CHICLETE, G;-1;;1;1;;0;0;;;;;0;169,99;;4114;Cor;ROSA CHICLETE;;1;Tamanho;G;;1;;;;
variation;4114-R-GG;Maxi T-Shirt - ROSA CHICLETE, GG;-1;;1;1;;0;0;;;;;0;169,99;;4114;Cor;ROSA CHICLETE;;1;Tamanho;GG;;1;;;;
variation;4114-RP-PP;Maxi T-Shirt - ROSA PINK, PP;-1;;1;1;;0;0;;;;;0;169,99;;4114;Cor;ROSA PINK;;1;Tamanho;PP;;1;;;;
variation;4114-RP-P;Maxi T-Shirt - ROSA PINK, P;-1;;1;1;;0;0;;;;;0;169,99;;4114;Cor;ROSA PINK;;1;Tamanho;P;;1;;;;
variation;4114-RP-M;Maxi T-Shirt - ROSA PINK, M;-1;;1;1;;0;0;;;;;0;169,99;;4114;Cor;ROSA PINK;;1;Tamanho;M;;1;;;;
variation;4114-RP-G;Maxi T-Shirt - ROSA PINK, G;-1;;1;1;;0;0;;;;;0;169,99;;4114;Cor;ROSA PINK;;1;Tamanho;G;;1;;;;
variation;4114-RP-GG;Maxi T-Shirt - ROSA PINK, GG;-1;;1;1;;0;0;;;;;0;169,99;;4114;Cor;ROSA PINK;;1;Tamanho;GG;;1;;;;
variation;4114-V-PP;Maxi T-Shirt - VERDE, PP;-1;;1;1;;0;0;;;;;0;169,99;;4114;Cor;VERDE;;1;Tamanho;PP;;1;;;;
variation;4114-V-P;Maxi T-Shirt - VERDE, P;-1;;1;1;;0;0;;;;;0;169,99;;4114;Cor;VERDE;;1;Tamanho;P;;1;;;;
variation;4114-V-M;Maxi T-Shirt - VERDE, M;-1;;1;1;;0;0;;;;;0;169,99;;4114;Cor;VERDE;;1;Tamanho;M;;1;;;;
variation;4114-V-G;Maxi T-Shirt - VERDE, G;-1;;1;1;;0;0;;;;;0;169,99;;4114;Cor;VERDE;;1;Tamanho;G;;1;;;;
variation;4114-V-GG;Maxi T-Shirt - VERDE, GG;-1;;1;1;;0;0;;;;;0;169,99;;4114;Cor;VERDE;;1;Tamanho;GG;;1;;;;
variation;4114-L-PP;Maxi T-Shirt - LILAS, PP;-1;;1;1;;0;0;;;;;0;169,99;;4114;Cor;LILAS;;1;Tamanho;PP;;1;;;;
variation;4114-L-P;Maxi T-Shirt - LILAS, P;-1;;1;1;;0;0;;;;;0;169,99;;4114;Cor;LILAS;;1;Tamanho;P;;1;;;;
variation;4114-L-M;Maxi T-Shirt - LILAS, M;-1;;1;1;;0;0;;;;;0;169,99;;4114;Cor;LILAS;;1;Tamanho;M;;1;;;;
variation;4114-L-G;Maxi T-Shirt - LILAS, G;-1;;1;1;;0;0;;;;;0;169,99;;4114;Cor;LILAS;;1;Tamanho;G;;1;;;;
variation;4114-L-GG;Maxi T-Shirt - LILAS, GG;-1;;1;1;;0;0;;;;;0;169,99;;4114;Cor;LILAS;;1;Tamanho;GG;;1;;;;
